"","Alabama","","","","Alaska","","","","Arizona","","","","Arkansas","","","","California","","","","Colorado","","","","Connecticut","","","","Delaware","","","","District of Columbia","","","","Florida","","","","Georgia","","","","Hawaii","","","","Idaho","","","","Illinois","","","","Indiana","","","","Iowa","","","","Kansas","","","","Kentucky","","","","Louisiana","","","","Maine","","","","Maryland","","","","Massachusetts","","","","Michigan","","","","Minnesota","","","","Mississippi","","","","Missouri","","","","Montana","","","","Nebraska","","","","Nevada","","","","New Hampshire","","","","New Jersey","","","","New Mexico","","","","New York","","","","North Carolina","","","","North Dakota","","","","Ohio","","","","Oklahoma","","","","Oregon","","","","Pennsylvania","","","","Rhode Island","","","","South Carolina","","","","South Dakota","","","","Tennessee","","","","Texas","","","","Utah","","","","Vermont","","","","Virginia","","","","Washington","","","","West Virginia","","","","Wisconsin","","","","Wyoming","","","","Puerto Rico","","",""
"    1-unit, attached","37,919","±3,301","1.7%","±0.2","23,251","±2,306","7.6%","±0.7","136,402","±5,242","4.8%","±0.2","21,905","±1,907","1.6%","±0.1","936,625","±13,765","6.8%","±0.1","151,100","±5,629","6.8%","±0.3","82,402","±3,318","5.5%","±0.2","60,404","±2,915","14.7%","±0.7","72,917","±3,094","24.3%","±1.0","568,259","±12,010","6.3%","±0.1","145,773","±5,852","3.5%","±0.1","44,668","±3,168","8.5%","±0.6","20,320","±2,443","3.0%","±0.4","314,689","±8,333","5.9%","±0.2","110,646","±5,541","3.9%","±0.2","47,101","±2,952","3.5%","±0.2","58,399","±3,208","4.7%","±0.3","45,770","±2,726","2.4%","±0.1","64,809","±3,313","3.3%","±0.2","16,831","±1,664","2.3%","±0.2","507,817","±9,056","21.2%","±0.4","144,629","±5,572","5.1%","±0.2","218,303","±6,974","4.8%","±0.2","175,186","±5,469","7.4%","±0.2","16,629","±2,099","1.3%","±0.2","87,953","±4,713","3.2%","±0.2","15,134","±1,863","3.1%","±0.4","29,795","±2,069","3.7%","±0.3","56,378","±3,487","4.8%","±0.3","33,201","±2,702","5.4%","±0.4","322,236","±7,946","9.0%","±0.2","32,872","±2,508","3.6%","±0.3","397,587","±8,110","4.9%","±0.1","164,581","±6,919","3.8%","±0.2","16,980","±2,003","5.2%","±0.6","232,946","±6,566","4.5%","±0.1","34,499","±2,622","2.1%","±0.2","77,858","±4,567","4.6%","±0.3","1,010,464","±13,151","18.1%","±0.2","16,885","±2,205","3.6%","±0.5","59,837","±3,402","2.8%","±0.2","11,987","±1,375","3.3%","±0.4","84,262","±3,934","3.0%","±0.1","287,092","±7,612","2.8%","±0.1","61,976","±3,899","6.2%","±0.4","13,060","±1,369","4.0%","±0.4","376,454","±7,632","11.1%","±0.2","105,931","±4,345","3.6%","±0.1","15,630","±1,891","1.8%","±0.2","115,789","±4,084","4.4%","±0.2","11,647","±1,632","4.4%","±0.6","181,668","±6,052","11.5%","±0.4"
"    2 units","42,162","±3,042","1.9%","±0.1","16,623","±1,882","5.4%","±0.6","47,649","±3,584","1.7%","±0.1","43,653","±3,873","3.3%","±0.3","347,522","±9,293","2.5%","±0.1","39,938","±2,880","1.8%","±0.1","123,688","±5,764","8.3%","±0.4","6,897","±1,371","1.7%","±0.3","9,212","±1,433","3.1%","±0.5","190,393","±5,488","2.1%","±0.1","95,316","±4,604","2.3%","±0.1","15,288","±1,841","2.9%","±0.4","14,898","±2,223","2.2%","±0.3","298,874","±8,632","5.6%","±0.2","73,444","±3,810","2.6%","±0.1","31,965","±2,507","2.4%","±0.2","29,400","±2,501","2.4%","±0.2","60,513","±3,528","3.1%","±0.2","71,732","±4,518","3.6%","±0.2","38,190","±2,997","5.3%","±0.4","40,192","±3,256","1.7%","±0.1","292,602","±7,645","10.4%","±0.3","114,813","±4,760","2.5%","±0.1","54,015","±2,866","2.3%","±0.1","33,142","±2,807","2.6%","±0.2","99,181","±4,743","3.6%","±0.2","17,467","±2,204","3.6%","±0.5","16,640","±1,842","2.1%","±0.2","16,112","±2,179","1.4%","±0.2","36,797","±3,479","6.0%","±0.6","350,572","±8,637","9.8%","±0.2","17,620","±2,659","1.9%","±0.3","871,949","±12,073","10.7%","±0.1","90,527","±4,359","2.1%","±0.1","6,664","±1,289","2.0%","±0.4","232,449","±7,300","4.5%","±0.1","32,072","±2,815","1.9%","±0.2","48,708","±4,271","2.9%","±0.3","266,680","±8,713","4.8%","±0.2","49,740","±3,323","10.8%","±0.7","48,366","±3,593","2.2%","±0.2","5,703","±1,080","1.5%","±0.3","86,499","±4,309","3.1%","±0.2","190,069","±7,508","1.9%","±0.1","33,641","±2,793","3.4%","±0.3","19,602","±2,083","6.0%","±0.6","58,126","±3,546","1.7%","±0.1","79,080","±5,245","2.7%","±0.2","20,801","±2,087","2.4%","±0.2","171,550","±5,297","6.5%","±0.2","7,378","±1,423","2.8%","±0.5","62,730","±3,758","4.0%","±0.2"
"    3 or 4 units","64,704","±3,823","3.0%","±0.2","18,913","±1,846","6.1%","±0.6","97,501","±4,839","3.4%","±0.2","46,480","±3,540","3.5%","±0.3","765,100","±15,171","5.6%","±0.1","73,063","±3,890","3.3%","±0.2","133,067","±5,359","8.9%","±0.4","9,471","±1,513","2.3%","±0.4","24,054","±2,057","8.0%","±0.7","343,729","±9,305","3.8%","±0.1","123,102","±6,116","3.0%","±0.1","23,608","±2,366","4.5%","±0.5","29,444","±3,126","4.4%","±0.5","369,926","±7,864","7.0%","±0.1","104,636","±4,543","3.7%","±0.2","46,913","±3,512","3.5%","±0.3","39,888","±2,793","3.2%","±0.2","76,137","±4,233","3.9%","±0.2","84,625","±4,931","4.3%","±0.2","40,067","±3,350","5.5%","±0.5","54,896","±3,557","2.3%","±0.1","304,872","±7,793","10.8%","±0.3","116,450","±4,721","2.6%","±0.1","49,643","±3,136","2.1%","±0.1","37,771","±3,323","2.9%","±0.3","125,832","±5,082","4.6%","±0.2","25,514","±2,472","5.2%","±0.5","20,164","±1,937","2.5%","±0.2","70,202","±3,845","5.9%","±0.3","35,646","±2,720","5.8%","±0.4","237,448","±7,165","6.6%","±0.2","31,976","±3,114","3.5%","±0.3","593,821","±10,373","7.3%","±0.1","120,371","±5,580","2.8%","±0.1","13,270","±1,744","4.0%","±0.5","228,928","±7,657","4.5%","±0.1","39,736","±2,496","2.4%","±0.1","75,017","±5,196","4.5%","±0.3","234,339","±7,719","4.2%","±0.1","59,437","±2,999","12.8%","±0.6","57,258","±4,486","2.7%","±0.2","12,126","±1,636","3.3%","±0.4","90,680","±5,362","3.2%","±0.2","320,040","±9,541","3.2%","±0.1","46,446","±2,893","4.7%","±0.3","21,305","±2,280","6.6%","±0.7","93,002","±5,138","2.7%","±0.2","106,557","±5,721","3.7%","±0.2","24,877","±2,612","2.8%","±0.3","105,340","±5,198","4.0%","±0.2","12,904","±1,773","4.9%","±0.7","54,239","±3,099","3.4%","±0.2"
"    5 to 9 units","90,690","±5,440","4.1%","±0.2","15,892","±1,666","5.2%","±0.5","128,044","±6,436","4.5%","±0.2","40,115","±3,334","3.0%","±0.3","840,520","±14,084","6.1%","±0.1","106,706","±5,230","4.8%","±0.2","82,294","±4,276","5.5%","±0.3","16,587","±2,049","4.0%","±0.5","20,305","±2,078","6.8%","±0.7","448,143","±10,795","5.0%","±0.1","214,708","±8,271","5.2%","±0.2","31,502","±2,057","6.0%","±0.4","21,985","±2,826","3.3%","±0.4","316,724","±7,800","6.0%","±0.1","124,606","±6,725","4.4%","±0.2","50,840","±2,703","3.8%","±0.2","46,149","±3,141","3.7%","±0.3","90,224","±4,812","4.7%","±0.2","69,147","±4,627","3.5%","±0.2","29,410","±2,842","4.1%","±0.4","115,500","±5,224","4.8%","±0.2","161,910","±5,911","5.8%","±0.2","195,516","±6,885","4.3%","±0.2","53,749","±3,345","2.3%","±0.1","61,529","±4,055","4.8%","±0.3","103,957","±4,746","3.8%","±0.2","13,624","±1,860","2.8%","±0.4","35,401","±3,115","4.4%","±0.4","96,671","±4,758","8.2%","±0.4","28,773","±3,202","4.7%","±0.5","163,457","±6,713","4.6%","±0.2","25,597","±2,665","2.8%","±0.3","428,065","±10,597","5.3%","±0.1","191,643","±7,360","4.4%","±0.2","12,943","±1,603","3.9%","±0.5","246,684","±7,589","4.8%","±0.1","57,433","±3,573","3.4%","±0.2","71,066","±4,544","4.2%","±0.3","184,529","±7,065","3.3%","±0.1","22,248","±2,107","4.8%","±0.5","102,927","±4,915","4.8%","±0.2","15,385","±1,845","4.2%","±0.5","131,860","±5,985","4.7%","±0.2","488,788","±11,806","4.8%","±0.1","33,710","±3,262","3.4%","±0.3","16,775","±1,958","5.2%","±0.6","158,139","±6,766","4.7%","±0.2","142,726","±6,525","4.9%","±0.2","26,074","±2,548","3.0%","±0.3","130,048","±6,042","4.9%","±0.2","9,812","±1,516","3.7%","±0.6","71,048","±3,436","4.5%","±0.2"
"    10 to 19 units","73,447","±4,616","3.4%","±0.2","8,128","±1,179","2.6%","±0.4","139,559","±5,539","4.9%","±0.2","41,965","±4,289","3.2%","±0.3","748,586","±14,228","5.5%","±0.1","134,390","±6,364","6.0%","±0.3","55,809","±3,855","3.8%","±0.3","25,174","±2,867","6.1%","±0.7","34,045","±2,635","11.3%","±0.9","533,616","±11,355","5.9%","±0.1","190,764","±9,310","4.6%","±0.2","27,430","±2,546","5.2%","±0.5","13,797","±2,050","2.0%","±0.3","214,314","±7,739","4.1%","±0.1","107,502","±5,859","3.8%","±0.2","50,145","±3,246","3.7%","±0.2","47,417","±4,049","3.8%","±0.3","63,470","±3,445","3.3%","±0.2","54,671","±3,728","2.8%","±0.2","10,702","±1,503","1.5%","±0.2","195,345","±6,496","8.2%","±0.3","117,448","±5,490","4.2%","±0.2","163,386","±6,153","3.6%","±0.1","81,607","±3,710","3.5%","±0.2","30,709","±3,535","2.4%","±0.3","91,265","±4,942","3.4%","±0.2","9,671","±1,449","2.0%","±0.3","36,416","±2,897","4.5%","±0.4","70,479","±3,922","6.0%","±0.3","17,998","±2,183","2.9%","±0.4","176,553","±6,262","4.9%","±0.2","22,757","±2,491","2.5%","±0.3","336,941","±9,786","4.1%","±0.1","179,660","±7,754","4.1%","±0.2","16,608","±1,716","5.0%","±0.5","205,512","±8,322","4.0%","±0.2","60,353","±3,349","3.6%","±0.2","58,873","±3,986","3.5%","±0.2","138,058","±6,085","2.5%","±0.1","16,803","±1,860","3.6%","±0.4","75,734","±5,045","3.5%","±0.2","13,915","±1,604","3.8%","±0.4","106,003","±5,938","3.7%","±0.2","626,790","±12,284","6.2%","±0.1","43,569","±3,216","4.4%","±0.3","5,559","±835","1.7%","±0.3","196,742","±7,460","5.8%","±0.2","147,156","±7,026","5.0%","±0.2","15,512","±2,023","1.8%","±0.2","87,920","±4,697","3.3%","±0.2","6,998","±1,406","2.6%","±0.5","53,430","±3,270","3.4%","±0.2"
"    20 or more units","82,873","±4,383","3.8%","±0.2","13,877","±1,492","4.5%","±0.5","183,563","±6,465","6.4%","±0.2","41,175","±3,206","3.1%","±0.2","1,598,190","±17,821","11.7%","±0.1","226,204","±6,457","10.1%","±0.3","122,054","±5,682","8.2%","±0.4","17,218","±1,594","4.2%","±0.4","102,417","±3,913","34.1%","±1.3","1,228,507","±15,170","13.6%","±0.2","223,079","±6,850","5.4%","±0.2","99,533","±3,546","19.0%","±0.7","20,587","±2,410","3.1%","±0.4","538,568","±8,640","10.2%","±0.2","104,599","±4,785","3.7%","±0.2","68,208","±3,718","5.1%","±0.3","56,875","±2,982","4.6%","±0.2","59,097","±3,308","3.1%","±0.2","86,070","±3,868","4.3%","±0.2","20,797","±2,090","2.9%","±0.3","205,484","±6,231","8.6%","±0.3","292,993","±6,678","10.4%","±0.2","223,565","±5,830","4.9%","±0.1","276,293","±7,083","11.7%","±0.3","23,245","±2,538","1.8%","±0.2","125,422","±5,070","4.6%","±0.2","16,092","±1,656","3.3%","±0.3","50,510","±3,440","6.3%","±0.4","107,143","±4,697","9.1%","±0.4","38,314","±2,799","6.2%","±0.5","368,093","±7,222","10.3%","±0.2","38,115","±3,165","4.2%","±0.3","1,890,154","±14,294","23.3%","±0.2","173,071","±6,579","4.0%","±0.2","35,391","±2,260","10.7%","±0.7","278,660","±5,532","5.4%","±0.1","68,768","±3,283","4.1%","±0.2","135,302","±4,783","8.0%","±0.3","336,448","±7,849","6.0%","±0.1","37,945","±3,044","8.2%","±0.7","100,283","±5,591","4.6%","±0.3","21,540","±1,957","5.8%","±0.5","113,396","±5,773","4.0%","±0.2","827,273","±13,451","8.1%","±0.1","56,397","±3,097","5.7%","±0.3","10,828","±1,588","3.3%","±0.5","238,512","±6,335","7.0%","±0.2","279,033","±7,927","9.6%","±0.3","23,775","±2,014","2.7%","±0.2","172,389","±4,745","6.5%","±0.2","8,059","±1,452","3.0%","±0.5","86,923","±3,540","5.5%","±0.2"
"    Mobile home","294,913","±7,225","13.5%","±0.3","14,242","±1,638","4.6%","±0.5","297,196","±8,326","10.3%","±0.3","168,231","±5,245","12.7%","±0.4","513,692","±10,793","3.7%","±0.1","91,495","±3,897","4.1%","±0.2","10,796","±1,434","0.7%","±0.1","36,378","±2,621","8.9%","±0.6","218","±225","0.1%","±0.1","832,536","±13,217","9.2%","±0.1","397,821","±7,911","9.7%","±0.2","536","±313","0.1%","±0.1","55,888","±3,269","8.3%","±0.5","138,532","±4,873","2.6%","±0.1","144,294","±5,708","5.1%","±0.2","51,400","±2,713","3.8%","±0.2","61,629","±3,186","5.0%","±0.3","244,467","±8,229","12.6%","±0.4","260,103","±7,142","13.1%","±0.4","65,559","±3,421","9.1%","±0.5","38,340","±3,267","1.6%","±0.1","24,268","±2,427","0.9%","±0.1","246,681","±5,115","5.5%","±0.1","79,788","±2,649","3.4%","±0.1","194,623","±6,187","15.2%","±0.5","181,410","±6,847","6.7%","±0.3","54,051","±2,821","11.1%","±0.6","29,061","±1,883","3.6%","±0.2","68,463","±3,667","5.8%","±0.3","35,974","±2,470","5.8%","±0.4","36,128","±2,656","1.0%","±0.1","149,399","±5,361","16.5%","±0.6","189,903","±4,987","2.3%","±0.1","592,216","±10,400","13.5%","±0.2","25,087","±1,773","7.6%","±0.5","200,319","±7,224","3.9%","±0.1","162,489","±3,753","9.7%","±0.2","140,360","±5,794","8.3%","±0.3","222,035","±6,020","4.0%","±0.1","4,522","±1,020","1.0%","±0.2","368,016","±8,160","17.1%","±0.4","34,200","±1,884","9.3%","±0.5","273,445","±5,828","9.6%","±0.2","773,556","±14,774","7.6%","±0.1","37,126","±2,959","3.7%","±0.3","20,619","±1,749","6.4%","±0.5","180,554","±6,369","5.3%","±0.2","205,437","±6,982","7.0%","±0.2","133,913","±4,387","15.2%","±0.5","95,223","±2,807","3.6%","±0.1","33,458","±2,436","12.6%","±0.9","5,728","±989","0.4%","±0.1"
"    Boat, RV, van, etc.","2,003","±756","0.1%","±0.1","351","±161","0.1%","±0.1","9,892","±1,453","0.3%","±0.1","1,746","±687","0.1%","±0.1","14,581","±1,681","0.1%","±0.1","1,318","±648","0.1%","±0.1","85","±97","0.0%","±0.1","81","±133","0.0%","±0.1","35","±58","0.0%","±0.1","10,822","±1,557","0.1%","±0.1","2,357","±893","0.1%","±0.1","85","±140","0.0%","±0.1","888","±477","0.1%","±0.1","1,368","±443","0.0%","±0.1","658","±389","0.0%","±0.1","79","±69","0.0%","±0.1","256","±198","0.0%","±0.1","707","±402","0.0%","±0.1","2,582","±750","0.1%","±0.1","153","±136","0.0%","±0.1","946","±700","0.0%","±0.1","542","±565","0.0%","±0.1","819","±334","0.0%","±0.1","923","±387","0.0%","±0.1","1,556","±564","0.1%","±0.1","1,423","±514","0.1%","±0.1","353","±206","0.1%","±0.1","108","±125","0.0%","±0.1","806","±333","0.1%","±0.1","22","±35","0.0%","±0.1","745","±495","0.0%","±0.1","1,755","±662","0.2%","±0.1","3,533","±1,157","0.0%","±0.1","1,025","±511","0.0%","±0.1","241","±258","0.1%","±0.1","1,238","±555","0.0%","±0.1","1,972","±527","0.1%","±0.1","3,967","±1,061","0.2%","±0.1","1,215","±450","0.0%","±0.1","149","±243","0.0%","±0.1","1,433","±559","0.1%","±0.1","39","±59","0.0%","±0.1","2,304","±739","0.1%","±0.1","14,141","±1,730","0.1%","±0.1","814","±451","0.1%","±0.1","180","±254","0.1%","±0.1","1,016","±528","0.0%","±0.1","5,793","±1,346","0.2%","±0.1","117","±91","0.0%","±0.1","631","±257","0.0%","±0.1","580","±435","0.2%","±0.2","84","±142","0.0%","±0.1"
"YEAR STRUCTURE BUILT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total housing units","2,189,567","±314","2,189,567","(X)","307,628","±120","307,628","(X)","2,871,486","±347","2,871,486","(X)","1,328,225","±186","1,328,225","(X)","13,708,197","±757","13,708,197","(X)","2,230,536","±335","2,230,536","(X)","1,488,002","±192","1,488,002","(X)","410,308","±130","410,308","(X)","300,247","±68","300,247","(X)","9,031,530","±639","9,031,530","(X)","4,107,554","±489","4,107,554","(X)","524,387","±108","524,387","(X)","673,048","±198","673,048","(X)","5,290,149","±1,419","5,290,149","(X)","2,808,430","±339","2,808,430","(X)","1,345,711","±221","1,345,711","(X)","1,238,703","±222","1,238,703","(X)","1,937,321","±391","1,937,321","(X)","1,987,059","±355","1,987,059","(X)","724,187","±192","724,187","(X)","2,395,635","±398","2,395,635","(X)","2,810,394","±204","2,810,394","(X)","4,525,081","±464","4,525,081","(X)","2,361,074","±907","2,361,074","(X)","1,283,897","±220","1,283,897","(X)","2,720,087","±435","2,720,087","(X)","486,161","±150","486,161","(X)","804,274","±215","804,274","(X)","1,182,842","±330","1,182,842","(X)","617,005","±115","617,005","(X)","3,574,763","±1,536","3,574,763","(X)","906,838","±291","906,838","(X)","8,123,585","±1,019","8,123,585","(X)","4,375,400","±520","4,375,400","(X)","329,249","±132","329,249","(X)","5,128,846","±400","5,128,846","(X)","1,677,646","±511","1,677,646","(X)","1,682,531","±205","1,682,531","(X)","5,572,765","±733","5,572,765","(X)","462,618","±150","462,618","(X)","2,156,768","±199","2,156,768","(X)","368,247","±286","368,247","(X)","2,834,808","±438","2,834,808","(X)","10,154,835","±788","10,154,835","(X)","996,777","±166","996,777","(X)","324,052","±118","324,052","(X)","3,398,389","±463","3,398,389","(X)","2,914,775","±266","2,914,775","(X)","882,800","±188","882,800","(X)","2,632,625","±287","2,632,625","(X)","265,207","±118","265,207","(X)","1,583,437","±6,946","1,583,437","(X)"
"    Built 2010 or later","35,512","±2,873","1.6%","±0.1","3,074","±797","1.0%","±0.3","23,915","±2,325","0.8%","±0.1","21,527","±2,191","1.6%","±0.2","83,715","±4,940","0.6%","±0.1","20,989","±2,070","0.9%","±0.1","8,101","±1,348","0.5%","±0.1","5,380","±1,190","1.3%","±0.3","2,121","±613","0.7%","±0.2","65,594","±3,996","0.7%","±0.1","37,103","±2,940","0.9%","±0.1","4,605","±982","0.9%","±0.2","8,794","±1,786","1.3%","±0.3","23,482","±2,455","0.4%","±0.1","25,941","±2,672","0.9%","±0.1","14,047","±1,555","1.0%","±0.1","10,399","±1,696","0.8%","±0.1","18,702","±1,856","1.0%","±0.1","30,827","±2,858","1.6%","±0.1","5,924","±996","0.8%","±0.1","20,903","±2,245","0.9%","±0.1","14,230","±1,776","0.5%","±0.1","16,807","±1,424","0.4%","±0.1","14,962","±1,793","0.6%","±0.1","19,663","±2,533","1.5%","±0.2","22,772","±2,295","0.8%","±0.1","6,431","±1,062","1.3%","±0.2","6,999","±1,052","0.9%","±0.1","11,581","±1,771","1.0%","±0.1","4,663","±895","0.8%","±0.1","19,819","±1,697","0.6%","±0.1","9,477","±1,443","1.0%","±0.2","40,709","±3,104","0.5%","±0.1","59,497","±3,326","1.4%","±0.1","7,322","±1,169","2.2%","±0.4","28,994","±2,468","0.6%","±0.1","24,366","±2,051","1.5%","±0.1","12,871","±1,577","0.8%","±0.1","28,948","±2,331","0.5%","±0.1","1,945","±643","0.4%","±0.1","30,715","±3,264","1.4%","±0.2","6,243","±1,235","1.7%","±0.3","35,373","±2,818","1.2%","±0.1","185,073","±7,839","1.8%","±0.1","15,013","±1,721","1.5%","±0.2","1,711","±500","0.5%","±0.2","38,633","±2,692","1.1%","±0.1","33,531","±2,479","1.2%","±0.1","7,777","±1,585","0.9%","±0.2","19,178","±1,996","0.7%","±0.1","3,602","±1,056","1.4%","±0.4","5,529","±1,184","0.3%","±0.1"
"    Built 2000 to 2009","359,906","±8,645","16.4%","±0.4","52,004","±2,690","16.9%","±0.9","755,057","±10,999","26.3%","±0.4","224,014","±6,889","16.9%","±0.5","1,652,314","±18,278","12.1%","±0.1","430,476","±8,011","19.3%","±0.4","98,724","±4,512","6.6%","±0.3","84,462","±3,661","20.6%","±0.9","23,869","±1,940","7.9%","±0.6","1,857,466","±20,990","20.6%","±0.2","937,570","±11,909","22.8%","±0.3","77,838","±3,418","14.8%","±0.7","153,843","±5,795","22.9%","±0.9","609,496","±10,089","11.5%","±0.2","361,639","±8,628","12.9%","±0.3","159,101","±4,189","11.8%","±0.3","149,854","±4,854","12.1%","±0.4","300,168","±7,166","15.5%","±0.4","323,714","±7,814","16.3%","±0.4","88,904","±3,192","12.3%","±0.4","296,290","±7,731","12.4%","±0.3","216,529","±6,899","7.7%","±0.2","476,471","±9,701","10.5%","±0.2","349,671","±6,364","14.8%","±0.3","237,205","±7,530","18.5%","±0.6","394,086","±8,258","14.5%","±0.3","78,982","±3,725","16.2%","±0.8","99,966","±3,344","12.4%","±0.4","357,108","±7,566","30.2%","±0.6","73,116","±3,713","11.9%","±0.6","357,659","±7,865","10.0%","±0.2","144,803","±5,578","16.0%","±0.6","539,400","±10,633","6.6%","±0.1","894,573","±13,712","20.4%","±0.3","45,833","±2,564","13.9%","±0.8","506,267","±9,012","9.9%","±0.2","238,044","±5,305","14.2%","±0.3","267,623","±6,321","15.9%","±0.4","473,972","±8,339","8.5%","±0.1","28,886","±2,346","6.2%","±0.5","446,597","±9,032","20.7%","±0.4","57,439","±2,531","15.6%","±0.7","486,332","±10,204","17.2%","±0.4","2,254,074","±19,802","22.2%","±0.2","224,095","±5,980","22.5%","±0.6","35,932","±2,544","11.1%","±0.8","535,356","±9,132","15.8%","±0.3","498,190","±11,205","17.1%","±0.4","97,345","±4,250","11.0%","±0.5","345,775","±6,046","13.1%","±0.2","41,368","±2,100","15.6%","±0.8","208,058","±7,243","13.1%","±0.5"
"    Built 1990 to 1999","396,185","±8,896","18.1%","±0.4","45,264","±2,798","14.7%","±0.9","589,750","±10,016","20.5%","±0.3","245,802","±6,738","18.5%","±0.5","1,458,351","±17,621","10.6%","±0.1","372,575","±8,418","16.7%","±0.4","113,755","±4,073","7.6%","±0.3","64,789","±3,122","15.8%","±0.8","7,622","±1,221","2.5%","±0.4","1,566,840","±19,186","17.3%","±0.2","886,139","±12,717","21.6%","±0.3","78,645","±3,797","15.0%","±0.7","122,893","±4,920","18.3%","±0.7","576,283","±10,918","10.9%","±0.2","406,787","±9,114","14.5%","±0.3","145,013","±4,379","10.8%","±0.3","155,652","±4,903","12.6%","±0.4","340,593","±7,575","17.6%","±0.4","245,165","±6,776","12.3%","±0.3","88,185","±3,684","12.2%","±0.5","334,003","±7,699","13.9%","±0.3","204,355","±6,475","7.3%","±0.2","579,306","±8,757","12.8%","±0.2","325,378","±6,931","13.8%","±0.3","224,006","±6,816","17.4%","±0.5","394,256","±7,815","14.5%","±0.3","68,863","±3,411","14.2%","±0.7","87,681","±4,074","10.9%","±0.5","306,752","±7,942","25.9%","±0.7","69,962","±3,166","11.3%","±0.5","319,552","±8,669","8.9%","±0.2","157,031","±4,815","17.3%","±0.5","503,351","±8,953","6.2%","±0.1","892,737","±14,193","20.4%","±0.3","38,188","±2,742","11.6%","±0.8","601,598","±10,951","11.7%","±0.2","186,401","±3,990","11.1%","±0.2","285,211","±7,371","17.0%","±0.4","514,812","±8,398","9.2%","±0.2","33,165","±2,486","7.2%","±0.5","428,167","±8,745","19.9%","±0.4","44,902","±2,646","12.2%","±0.7","512,311","±8,748","18.1%","±0.3","1,562,231","±16,917","15.4%","±0.2","185,193","±5,384","18.6%","±0.5","36,594","±2,104","11.3%","±0.6","537,210","±9,733","15.8%","±0.3","490,587","±9,405","16.8%","±0.3","115,176","±4,896","13.0%","±0.6","371,061","±6,281","14.1%","±0.2","31,881","±2,737","12.0%","±1.0","260,789","±6,998","16.5%","±0.4"
"    Built 1980 to 1989","329,712","±7,439","15.1%","±0.3","75,573","±3,081","24.6%","±1.0","533,521","±9,756","18.6%","±0.3","222,376","±6,411","16.7%","±0.5","2,095,276","±17,584","15.3%","±0.1","339,502","±6,592","15.2%","±0.3","189,364","±5,557","12.7%","±0.4","57,880","±3,475","14.1%","±0.8","14,127","±1,723","4.7%","±0.6","1,949,665","±20,698","21.6%","±0.2","710,663","±10,769","17.3%","±0.3","77,795","±3,786","14.8%","±0.7","69,707","±4,486","10.4%","±0.7","468,845","±8,201","8.9%","±0.2","279,858","±7,259","10.0%","±0.3","93,941","±3,973","7.0%","±0.3","148,135","±5,372","12.0%","±0.4","248,938","±6,744","12.8%","±0.3","307,315","±8,189","15.5%","±0.4","106,362","±4,135","14.7%","±0.6","372,712","±8,027","15.6%","±0.3","296,480","±8,127","10.5%","±0.3","447,741","±8,425","9.9%","±0.2","298,794","±7,387","12.7%","±0.3","194,838","±6,291","15.2%","±0.5","327,008","±8,250","12.0%","±0.3","56,434","±3,462","11.6%","±0.7","78,365","±3,109","9.7%","±0.4","193,865","±6,060","16.4%","±0.5","126,351","±4,107","20.5%","±0.7","410,049","±9,330","11.5%","±0.3","160,177","±5,657","17.7%","±0.6","613,381","±11,863","7.6%","±0.1","705,617","±11,521","16.1%","±0.3","38,150","±2,422","11.6%","±0.7","455,999","±9,083","8.9%","±0.2","253,384","±5,847","15.1%","±0.3","186,562","±6,104","11.1%","±0.4","541,599","±8,681","9.7%","±0.2","50,080","±3,254","10.8%","±0.7","373,983","±9,397","17.3%","±0.4","38,775","±2,452","10.5%","±0.7","432,551","±8,775","15.3%","±0.3","1,766,877","±18,586","17.4%","±0.2","132,997","±4,702","13.3%","±0.5","52,807","±2,198","16.3%","±0.7","581,932","±9,585","17.1%","±0.3","410,910","±8,449","14.1%","±0.3","115,686","±4,826","13.1%","±0.5","253,742","±5,775","9.6%","±0.2","40,455","±2,785","15.3%","±1.0","251,153","±7,298","15.9%","±0.5"
